Region,seafood restaurant: (1/1/16 - 5/15/16),seafood recipe: (1/1/16 - 5/15/16),seafood delivery: (1/1/16 - 5/15/16),sushi take out: (1/1/16 - 5/15/16),bbq restaurant: (1/1/16 - 5/15/16),category,date_range,year,country
South Carolina,76%,<1%,9%,<1%,15%,food & drink, (1/1/17 - 6/15/17),2017,usa
Louisiana,73%,2%,16%,1%,8%,food & drink, (1/1/17 - 6/15/17),2017,usa
Hawaii,66%,1%,11%,3%,19%,food & drink, (1/1/17 - 6/15/17),2017,usa
Florida,76%,1%,10%,1%,12%,food & drink, (1/1/17 - 6/15/17),2017,usa
North Carolina,74%,<1%,9%,1%,16%,food & drink, (1/1/17 - 6/15/17),2017,usa
Delaware,80%,,12%,,8%,food & drink, (1/1/17 - 6/15/17),2017,usa
Georgia,69%,1%,11%,<1%,19%,food & drink, (1/1/17 - 6/15/17),2017,usa
District of Columbia,70%,1%,15%,,14%,food & drink, (1/1/17 - 6/15/17),2017,usa
Maryland,68%,3%,14%,2%,13%,food & drink, (1/1/17 - 6/15/17),2017,usa
Mississippi,66%,1%,15%,,18%,food & drink, (1/1/17 - 6/15/17),2017,usa
Virginia,68%,1%,14%,1%,16%,food & drink, (1/1/17 - 6/15/17),2017,usa
Alabama,62%,2%,14%,,22%,food & drink, (1/1/17 - 6/15/17),2017,usa
Massachusetts,64%,2%,16%,2%,16%,food & drink, (1/1/17 - 6/15/17),2017,usa
Rhode Island,61%,4%,21%,,14%,food & drink, (1/1/17 - 6/15/17),2017,usa
California,60%,1%,11%,1%,27%,food & drink, (1/1/17 - 6/15/17),2017,usa
New Jersey,57%,1%,14%,2%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Texas,62%,2%,13%,1%,22%,food & drink, (1/1/17 - 6/15/17),2017,usa
Maine,62%,3%,22%,,13%,food & drink, (1/1/17 - 6/15/17),2017,usa
New York,55%,1%,16%,2%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Connecticut,62%,2%,15%,3%,18%,food & drink, (1/1/17 - 6/15/17),2017,usa
Nevada,53%,1%,12%,1%,33%,food & drink, (1/1/17 - 6/15/17),2017,usa
Illinois,55%,1%,17%,1%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Pennsylvania,56%,3%,22%,3%,16%,food & drink, (1/1/17 - 6/15/17),2017,usa
New Hampshire,54%,3%,19%,,24%,food & drink, (1/1/17 - 6/15/17),2017,usa
Oregon,59%,1%,17%,1%,22%,food & drink, (1/1/17 - 6/15/17),2017,usa
Kentucky,52%,3%,16%,,29%,food & drink, (1/1/17 - 6/15/17),2017,usa
Tennessee,45%,2%,16%,<1%,37%,food & drink, (1/1/17 - 6/15/17),2017,usa
Arizona,53%,1%,12%,2%,32%,food & drink, (1/1/17 - 6/15/17),2017,usa
Washington,50%,1%,20%,1%,28%,food & drink, (1/1/17 - 6/15/17),2017,usa
Colorado,44%,2%,18%,3%,33%,food & drink, (1/1/17 - 6/15/17),2017,usa
Michigan,48%,1%,23%,2%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Ohio,51%,<1%,16%,1%,32%,food & drink, (1/1/17 - 6/15/17),2017,usa
Arkansas,50%,,16%,,34%,food & drink, (1/1/17 - 6/15/17),2017,usa
Missouri,42%,2%,17%,1%,38%,food & drink, (1/1/17 - 6/15/17),2017,usa
West Virginia,30%,,40%,,30%,food & drink, (1/1/17 - 6/15/17),2017,usa
Vermont,44%,,37%,,19%,food & drink, (1/1/17 - 6/15/17),2017,usa
Indiana,47%,1%,24%,2%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Oklahoma,48%,,18%,,34%,food & drink, (1/1/17 - 6/15/17),2017,usa
New Mexico,52%,,12%,,36%,food & drink, (1/1/17 - 6/15/17),2017,usa
Wisconsin,49%,,23%,1%,27%,food & drink, (1/1/17 - 6/15/17),2017,usa
Kansas,41%,,11%,,48%,food & drink, (1/1/17 - 6/15/17),2017,usa
Idaho,22%,,32%,,46%,food & drink, (1/1/17 - 6/15/17),2017,usa
Iowa,44%,,27%,3%,26%,food & drink, (1/1/17 - 6/15/17),2017,usa
Minnesota,41%,1%,27%,1%,30%,food & drink, (1/1/17 - 6/15/17),2017,usa
Alaska,50%,,50%,,,food & drink, (1/1/17 - 6/15/17),2017,usa
Utah,40%,3%,15%,3%,39%,food & drink, (1/1/17 - 6/15/17),2017,usa
Nebraska,36%,10%,27%,5%,22%,food & drink, (1/1/17 - 6/15/17),2017,usa
Montana,30%,,30%,,40%,food & drink, (1/1/17 - 6/15/17),2017,usa
Wyoming,,,,,,food & drink, (1/1/17 - 6/15/17),2017,usa
North Dakota,,,,,,food & drink, (1/1/17 - 6/15/17),2017,usa
South Dakota,,,,,,food & drink, (1/1/17 - 6/15/17),2017,usa
