Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/6/19,50,3,20,1,24,food & drink,2019,usa
1/13/19,61,4,22,1,21,food & drink,2019,usa
1/20/19,63,2,24,1,22,food & drink,2019,usa
1/27/19,64,3,18,1,22,food & drink,2019,usa
2/3/19,60,2,17,1,18,food & drink,2019,usa
2/10/19,77,3,21,2,25,food & drink,2019,usa
2/17/19,69,5,20,1,25,food & drink,2019,usa
2/24/19,64,3,19,2,24,food & drink,2019,usa
3/3/19,65,3,20,1,25,food & drink,2019,usa
3/10/19,76,3,19,1,25,food & drink,2019,usa
3/17/19,76,4,16,1,24,food & drink,2019,usa
3/24/19,78,2,15,1,25,food & drink,2019,usa
3/31/19,68,2,16,2,25,food & drink,2019,usa
4/7/19,59,3,15,3,24,food & drink,2019,usa
4/14/19,75,3,15,1,19,food & drink,2019,usa
4/21/19,61,3,12,2,24,food & drink,2019,usa
4/28/19,72,2,16,2,23,food & drink,2019,usa
5/5/19,82,2,17,2,22,food & drink,2019,usa
5/12/19,85,3,15,2,21,food & drink,2019,usa
5/19/19,72,3,16,2,24,food & drink,2019,usa
5/26/19,80,3,14,1,27,food & drink,2019,usa
6/2/19,80,3,15,1,25,food & drink,2019,usa
6/9/19,97,4,18,1,25,food & drink,2019,usa
6/16/19,83,3,20,1,30,food & drink,2019,usa
6/23/19,83,3,21,1,28,food & drink,2019,usa
6/30/19,93,4,22,1,33,food & drink,2019,usa
7/7/19,78,4,18,2,26,food & drink,2019,usa
7/14/19,94,3,16,2,24,food & drink,2019,usa
7/21/19,89,3,16,2,26,food & drink,2019,usa
7/28/19,100,2,16,2,26,food & drink,2019,usa
8/4/19,96,2,16,2,23,food & drink,2019,usa
8/11/19,87,2,19,2,25,food & drink,2019,usa
8/18/19,78,1,18,2,23,food & drink,2019,usa
8/25/19,77,3,14,2,20,food & drink,2019,usa
9/1/19,79,2,12,1,24,food & drink,2019,usa
9/8/19,63,2,13,2,20,food & drink,2019,usa
9/15/19,66,3,18,1,22,food & drink,2019,usa
9/22/19,68,2,15,1,20,food & drink,2019,usa
9/29/19,64,2,14,2,21,food & drink,2019,usa
