Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/17,52,2,19,2,17,food & drink,2017,usa
1/8/17,48,1,13,2,20,food & drink,2017,usa
1/15/17,57,2,14,1,21,food & drink,2017,usa
1/22/17,59,1,16,1,22,food & drink,2017,usa
1/29/17,58,2,18,2,19,food & drink,2017,usa
2/5/17,55,2,17,1,23,food & drink,2017,usa
2/12/17,75,2,24,3,21,food & drink,2017,usa
2/19/17,69,2,16,2,22,food & drink,2017,usa
2/26/17,67,2,18,2,23,food & drink,2017,usa
3/5/17,66,2,14,2,21,food & drink,2017,usa
3/12/17,63,2,14,2,21,food & drink,2017,usa
3/19/17,62,3,14,2,19,food & drink,2017,usa
3/26/17,60,1,14,3,24,food & drink,2017,usa
4/2/17,68,1,15,1,25,food & drink,2017,usa
4/9/17,70,2,17,1,26,food & drink,2017,usa
4/16/17,61,2,15,2,23,food & drink,2017,usa
4/23/17,61,1,13,1,23,food & drink,2017,usa
4/30/17,57,3,12,1,24,food & drink,2017,usa
5/7/17,69,1,13,1,22,food & drink,2017,usa
5/14/17,72,1,14,2,21,food & drink,2017,usa
5/21/17,71,2,14,0,28,food & drink,2017,usa
5/28/17,75,1,16,2,32,food & drink,2017,usa
6/4/17,76,2,11,1,29,food & drink,2017,usa
6/11/17,87,2,14,2,31,food & drink,2017,usa
6/18/17,89,1,14,1,28,food & drink,2017,usa
6/25/17,85,2,14,2,30,food & drink,2017,usa
7/2/17,100,3,17,1,34,food & drink,2017,usa
7/9/17,88,2,14,1,24,food & drink,2017,usa
7/16/17,89,3,15,2,28,food & drink,2017,usa
7/23/17,90,3,14,2,24,food & drink,2017,usa
7/30/17,85,2,15,1,24,food & drink,2017,usa
8/6/17,84,2,14,2,27,food & drink,2017,usa
8/13/17,86,2,14,2,23,food & drink,2017,usa
8/20/17,75,2,12,2,22,food & drink,2017,usa
8/27/17,66,2,15,1,21,food & drink,2017,usa
9/3/17,58,2,14,2,19,food & drink,2017,usa
9/10/17,56,2,12,2,21,food & drink,2017,usa
9/17/17,61,1,10,2,22,food & drink,2017,usa
9/24/17,58,1,12,2,21,food & drink,2017,usa
10/1/17,58,2,14,2,21,food & drink,2017,usa
