Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/3/16,48,2,15,2,19,food & drink,2016,usa
1/10/16,52,1,19,2,18,food & drink,2016,usa
1/17/16,50,1,17,2,20,food & drink,2016,usa
1/24/16,52,2,16,3,25,food & drink,2016,usa
1/31/16,55,3,17,1,20,food & drink,2016,usa
2/7/16,68,1,18,2,19,food & drink,2016,usa
2/14/16,73,3,18,2,22,food & drink,2016,usa
2/21/16,64,1,19,1,21,food & drink,2016,usa
2/28/16,62,2,18,1,21,food & drink,2016,usa
3/6/16,70,1,16,2,21,food & drink,2016,usa
3/13/16,68,2,15,2,22,food & drink,2016,usa
3/20/16,78,1,17,2,22,food & drink,2016,usa
3/27/16,74,1,11,3,26,food & drink,2016,usa
4/3/16,72,1,14,2,26,food & drink,2016,usa
4/10/16,65,2,13,2,24,food & drink,2016,usa
4/17/16,62,1,14,1,23,food & drink,2016,usa
4/24/16,72,1,17,1,24,food & drink,2016,usa
5/1/16,75,1,16,2,22,food & drink,2016,usa
5/8/16,80,4,16,2,28,food & drink,2016,usa
5/15/16,74,1,15,2,25,food & drink,2016,usa
5/22/16,77,1,13,2,25,food & drink,2016,usa
5/29/16,84,2,14,2,28,food & drink,2016,usa
6/5/16,78,1,14,2,26,food & drink,2016,usa
6/12/16,83,2,16,1,25,food & drink,2016,usa
6/19/16,90,1,15,2,27,food & drink,2016,usa
6/26/16,88,2,17,1,26,food & drink,2016,usa
7/3/16,90,2,18,2,30,food & drink,2016,usa
7/10/16,100,1,16,2,26,food & drink,2016,usa
7/17/16,95,2,16,2,28,food & drink,2016,usa
7/24/16,91,2,14,2,27,food & drink,2016,usa
7/31/16,84,2,15,2,25,food & drink,2016,usa
8/7/16,72,2,17,2,22,food & drink,2016,usa
8/14/16,74,1,14,2,22,food & drink,2016,usa
8/21/16,71,1,13,1,23,food & drink,2016,usa
8/28/16,67,2,13,1,21,food & drink,2016,usa
9/4/16,75,1,15,2,25,food & drink,2016,usa
9/11/16,61,2,13,2,19,food & drink,2016,usa
9/18/16,64,1,14,1,20,food & drink,2016,usa
9/25/16,59,2,13,2,23,food & drink,2016,usa
10/2/16,55,1,11,1,21,food & drink,2016,usa
