ISO3c,exp_to_CHN_kg,exp_to_CHN_value,exp.kg,exp.value,per_exp_kg,per_exp_val,imp_from_CHN_kg,imp_from_CHN_value,imp.kg,imp.value,per_imp_kg,per_imp_val
MNE,NA,NA,NA,NA,NA,NA,185967,818029,6972174,25204010,2.667274225,3.245630358
MNG,NA,NA,NA,NA,NA,NA,105814,250190,616361,2291119,17.16753656,10.9199915
MNP,NA,NA,NA,NA,NA,NA,166,41640,494968,2997846,0.033537522,1.3889973
NCL,NA,NA,NA,NA,NA,NA,296095,588330,2091136,6465592,14.1595286,9.099398787
NER,NA,NA,NA,NA,NA,NA,757766,1910462,1789748,2350617,42.3392567,81.27491633
PLW,NA,NA,NA,NA,NA,NA,192519,793554,2067619,14663843,9.311144848,5.411637318
PSE,NA,NA,NA,NA,NA,NA,26984,94300,1983948,2900407,1.360116293,3.251267839
PYF,NA,NA,NA,NA,NA,NA,1616897,2852549,5000026,9572268,32.33777184,29.80013723
RWA,NA,NA,NA,NA,NA,NA,3968050,8039515,5490782,10607405,72.26748394,75.79153431
SRB,NA,NA,NA,NA,NA,NA,638200,1903660,77357075,89914537,0.82500534,2.117188236
SVK,NA,NA,NA,NA,NA,NA,1628117,4644245,48662458,147136589,3.345735228,3.15641747
SVN,NA,NA,NA,NA,NA,NA,1173188,2146649,464745925,147689631,0.252436425,1.453486603
SWZ,NA,NA,NA,NA,NA,NA,5660,5905,4754106,12275259,0.119054981,0.048104891
TJK,NA,NA,NA,NA,NA,NA,4672,4810,2474569,2458534,0.188800555,0.195645047
TKM,NA,NA,NA,NA,NA,NA,44242,89992,360154,970585,12.28418954,9.271933937
TUV,NA,NA,NA,NA,NA,NA,5610,8570,25488,42922,22.01035782,19.96645077
VCT,NA,NA,NA,NA,NA,NA,2222,13839,597940,3178299,0.371609192,0.435421589
