Region,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,date_range,year,country
South Carolina,74%,2%,10%,<1%,14%,food & drink, (1/1/16 - 5/15/16),2016,usa
Louisiana,75%,4%,17%,<1%,4%,food & drink, (1/1/16 - 5/15/16),2016,usa
Florida,75%,1%,10%,1%,13%,food & drink, (1/1/16 - 5/15/16),2016,usa
Hawaii,67%,,14%,2%,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
Maryland,73%,1%,12%,1%,13%,food & drink, (1/1/16 - 5/15/16),2016,usa
North Carolina,72%,<1%,10%,<1%,18%,food & drink, (1/1/16 - 5/15/16),2016,usa
District of Columbia,69%,3%,17%,,11%,food & drink, (1/1/16 - 5/15/16),2016,usa
Georgia,69%,1%,12%,1%,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
Delaware,60%,4%,28%,,8%,food & drink, (1/1/16 - 5/15/16),2016,usa
Mississippi,68%,2%,18%,,12%,food & drink, (1/1/16 - 5/15/16),2016,usa
Virginia,66%,2%,15%,1%,16%,food & drink, (1/1/16 - 5/15/16),2016,usa
Maine,73%,,21%,,6%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Hampshire,72%,4%,18%,,6%,food & drink, (1/1/16 - 5/15/16),2016,usa
Massachusetts,66%,1%,16%,2%,15%,food & drink, (1/1/16 - 5/15/16),2016,usa
Texas,63%,1%,15%,<1%,21%,food & drink, (1/1/16 - 5/15/16),2016,usa
Alabama,60%,1%,17%,,22%,food & drink, (1/1/16 - 5/15/16),2016,usa
California,60%,<1%,13%,2%,25%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Jersey,61%,1%,13%,2%,23%,food & drink, (1/1/16 - 5/15/16),2016,usa
New York,54%,1%,18%,3%,24%,food & drink, (1/1/16 - 5/15/16),2016,usa
Alaska,42%,,58%,,,food & drink, (1/1/16 - 5/15/16),2016,usa
Pennsylvania,59%,3%,21%,1%,16%,food & drink, (1/1/16 - 5/15/16),2016,usa
Rhode Island,49%,,31%,,20%,food & drink, (1/1/16 - 5/15/16),2016,usa
Illinois,57%,1%,14%,1%,27%,food & drink, (1/1/16 - 5/15/16),2016,usa
Oregon,68%,,14%,1%,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
Connecticut,55%,1%,18%,1%,25%,food & drink, (1/1/16 - 5/15/16),2016,usa
Washington,57%,<1%,14%,3%,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
Arizona,55%,1%,12%,6%,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
Tennessee,46%,2%,15%,3%,34%,food & drink, (1/1/16 - 5/15/16),2016,usa
Nevada,43%,3%,16%,6%,32%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Mexico,60%,,16%,,24%,food & drink, (1/1/16 - 5/15/16),2016,usa
Vermont,78%,,22%,,,food & drink, (1/1/16 - 5/15/16),2016,usa
Arkansas,53%,,21%,,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
Ohio,51%,1%,18%,3%,27%,food & drink, (1/1/16 - 5/15/16),2016,usa
Colorado,44%,1%,21%,5%,29%,food & drink, (1/1/16 - 5/15/16),2016,usa
Missouri,36%,1%,26%,4%,33%,food & drink, (1/1/16 - 5/15/16),2016,usa
Michigan,52%,,18%,1%,29%,food & drink, (1/1/16 - 5/15/16),2016,usa
Kentucky,39%,2%,24%,,35%,food & drink, (1/1/16 - 5/15/16),2016,usa
Indiana,47%,2%,21%,,30%,food & drink, (1/1/16 - 5/15/16),2016,usa
Oklahoma,46%,,23%,,31%,food & drink, (1/1/16 - 5/15/16),2016,usa
Kansas,35%,,25%,,40%,food & drink, (1/1/16 - 5/15/16),2016,usa
Minnesota,40%,3%,24%,3%,30%,food & drink, (1/1/16 - 5/15/16),2016,usa
West Virginia,47%,,36%,,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
Montana,33%,,42%,,25%,food & drink, (1/1/16 - 5/15/16),2016,usa
Iowa,44%,,36%,,20%,food & drink, (1/1/16 - 5/15/16),2016,usa
Utah,45%,10%,20%,5%,20%,food & drink, (1/1/16 - 5/15/16),2016,usa
Wisconsin,31%,4%,28%,2%,35%,food & drink, (1/1/16 - 5/15/16),2016,usa
Nebraska,45%,,20%,,35%,food & drink, (1/1/16 - 5/15/16),2016,usa
Idaho,38%,,23%,,39%,food & drink, (1/1/16 - 5/15/16),2016,usa
Wyoming,,,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
South Dakota,,,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
North Dakota,,,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
