Region,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,date_range,year,country
South Carolina,64%,4%,19%,1%,12%,food & drink,(1/1/20 - 5/15/20),2020,usa
Louisiana,67%,5%,23%,,5%,food & drink,(1/1/20 - 5/15/20),2020,usa
Maryland,61%,9%,20%,2%,8%,food & drink,(1/1/20 - 5/15/20),2020,usa
Delaware,65%,6%,25%,,4%,food & drink,(1/1/20 - 5/15/20),2020,usa
Florida,61%,4%,17%,2%,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
North Carolina,62%,5%,16%,2%,15%,food & drink,(1/1/20 - 5/15/20),2020,usa
Mississippi,63%,4%,23%,,10%,food & drink,(1/1/20 - 5/15/20),2020,usa
Hawaii,48%,1%,21%,14%,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
District of Columbia,56%,19%,18%,,7%,food & drink,(1/1/20 - 5/15/20),2020,usa
Georgia,57%,6%,21%,<1%,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
Virginia,57%,5%,22%,2%,14%,food & drink,(1/1/20 - 5/15/20),2020,usa
Alabama,54%,4%,20%,,22%,food & drink,(1/1/20 - 5/15/20),2020,usa
Massachusetts,58%,7%,21%,3%,11%,food & drink,(1/1/20 - 5/15/20),2020,usa
New Hampshire,57%,8%,20%,,15%,food & drink,(1/1/20 - 5/15/20),2020,usa
New York,51%,7%,23%,3%,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
New Jersey,52%,5%,21%,3%,19%,food & drink,(1/1/20 - 5/15/20),2020,usa
Texas,50%,5%,21%,1%,23%,food & drink,(1/1/20 - 5/15/20),2020,usa
Pennsylvania,47%,8%,28%,3%,14%,food & drink,(1/1/20 - 5/15/20),2020,usa
Rhode Island,42%,11%,31%,,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
Tennessee,43%,7%,24%,<1%,26%,food & drink,(1/1/20 - 5/15/20),2020,usa
Connecticut,46%,10%,27%,5%,12%,food & drink,(1/1/20 - 5/15/20),2020,usa
California,46%,5%,22%,4%,23%,food & drink,(1/1/20 - 5/15/20),2020,usa
Maine,43%,5%,38%,,14%,food & drink,(1/1/20 - 5/15/20),2020,usa
Illinois,41%,6%,23%,3%,27%,food & drink,(1/1/20 - 5/15/20),2020,usa
Nevada,40%,4%,26%,9%,21%,food & drink,(1/1/20 - 5/15/20),2020,usa
West Virginia,55%,,28%,,17%,food & drink,(1/1/20 - 5/15/20),2020,usa
Oregon,44%,4%,24%,6%,22%,food & drink,(1/1/20 - 5/15/20),2020,usa
Arizona,43%,6%,21%,7%,23%,food & drink,(1/1/20 - 5/15/20),2020,usa
Ohio,47%,6%,30%,1%,16%,food & drink,(1/1/20 - 5/15/20),2020,usa
Kentucky,45%,5%,29%,,21%,food & drink,(1/1/20 - 5/15/20),2020,usa
Indiana,44%,6%,27%,1%,22%,food & drink,(1/1/20 - 5/15/20),2020,usa
Washington,40%,3%,26%,5%,26%,food & drink,(1/1/20 - 5/15/20),2020,usa
Vermont,45%,,30%,,25%,food & drink,(1/1/20 - 5/15/20),2020,usa
Alaska,62%,,38%,,,food & drink,(1/1/20 - 5/15/20),2020,usa
Oklahoma,31%,6%,26%,,37%,food & drink,(1/1/20 - 5/15/20),2020,usa
Arkansas,40%,2%,17%,,41%,food & drink,(1/1/20 - 5/15/20),2020,usa
Colorado,40%,4%,19%,7%,30%,food & drink,(1/1/20 - 5/15/20),2020,usa
Missouri,32%,6%,31%,1%,30%,food & drink,(1/1/20 - 5/15/20),2020,usa
Michigan,37%,2%,34%,4%,23%,food & drink,(1/1/20 - 5/15/20),2020,usa
Kansas,40%,5%,26%,,29%,food & drink,(1/1/20 - 5/15/20),2020,usa
Iowa,46%,3%,28%,6%,17%,food & drink,(1/1/20 - 5/15/20),2020,usa
Minnesota,26%,3%,40%,7%,24%,food & drink,(1/1/20 - 5/15/20),2020,usa
New Mexico,39%,8%,26%,,27%,food & drink,(1/1/20 - 5/15/20),2020,usa
Wisconsin,27%,3%,33%,4%,33%,food & drink,(1/1/20 - 5/15/20),2020,usa
Montana,26%,,47%,,27%,food & drink,(1/1/20 - 5/15/20),2020,usa
Utah,46%,,25%,8%,21%,food & drink,(1/1/20 - 5/15/20),2020,usa
Nebraska,17%,,41%,18%,24%,food & drink,(1/1/20 - 5/15/20),2020,usa
Idaho,24%,,48%,,28%,food & drink,(1/1/20 - 5/15/20),2020,usa
North Dakota,57%,,43%,,,food & drink,(1/1/20 - 5/15/20),2020,usa
Wyoming,,,,,,food & drink,(1/1/20 - 5/15/20),2020,usa
South Dakota,,,,,,food & drink,(1/1/20 - 5/15/20),2020,usa
