Region,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,date_range,year,country
South Carolina,74%,1%,11%,<1%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
Louisiana,70%,2%,21%,<1%,7%,food & drink,(1/1/18 - 5/15/18),2018,usa
Florida,75%,1%,10%,1%,13%,food & drink,(1/1/18 - 5/15/18),2018,usa
Hawaii,64%,1%,10%,1%,24%,food & drink,(1/1/18 - 5/15/18),2018,usa
North Carolina,72%,<1%,11%,<1%,17%,food & drink,(1/1/18 - 5/15/18),2018,usa
Georgia,65%,2%,15%,<1%,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Maryland,68%,5%,15%,<1%,12%,food & drink,(1/1/18 - 5/15/18),2018,usa
District of Columbia,63%,8%,17%,,12%,food & drink,(1/1/18 - 5/15/18),2018,usa
Virginia,65%,2%,15%,2%,16%,food & drink,(1/1/18 - 5/15/18),2018,usa
Delaware,64%,3%,20%,,13%,food & drink,(1/1/18 - 5/15/18),2018,usa
Alabama,62%,2%,12%,,24%,food & drink,(1/1/18 - 5/15/18),2018,usa
Mississippi,59%,1%,20%,,20%,food & drink,(1/1/18 - 5/15/18),2018,usa
Texas,59%,2%,16%,<1%,23%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Hampshire,75%,3%,9%,,13%,food & drink,(1/1/18 - 5/15/18),2018,usa
New York,58%,2%,17%,1%,22%,food & drink,(1/1/18 - 5/15/18),2018,usa
Massachusetts,63%,4%,17%,2%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
California,57%,1%,14%,1%,27%,food & drink,(1/1/18 - 5/15/18),2018,usa
Rhode Island,55%,9%,16%,,20%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Jersey,58%,1%,17%,1%,23%,food & drink,(1/1/18 - 5/15/18),2018,usa
Oregon,60%,,24%,3%,13%,food & drink,(1/1/18 - 5/15/18),2018,usa
Connecticut,65%,1%,13%,1%,20%,food & drink,(1/1/18 - 5/15/18),2018,usa
Nevada,52%,,20%,,28%,food & drink,(1/1/18 - 5/15/18),2018,usa
Pennsylvania,53%,5%,22%,1%,19%,food & drink,(1/1/18 - 5/15/18),2018,usa
Illinois,50%,1%,20%,2%,27%,food & drink,(1/1/18 - 5/15/18),2018,usa
Washington,55%,1%,22%,1%,21%,food & drink,(1/1/18 - 5/15/18),2018,usa
Alaska,50%,,50%,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Arizona,47%,2%,19%,4%,28%,food & drink,(1/1/18 - 5/15/18),2018,usa
Colorado,43%,1%,17%,1%,38%,food & drink,(1/1/18 - 5/15/18),2018,usa
Tennessee,42%,,17%,1%,40%,food & drink,(1/1/18 - 5/15/18),2018,usa
Vermont,50%,,16%,,34%,food & drink,(1/1/18 - 5/15/18),2018,usa
Maine,48%,5%,34%,,13%,food & drink,(1/1/18 - 5/15/18),2018,usa
Ohio,49%,1%,21%,2%,27%,food & drink,(1/1/18 - 5/15/18),2018,usa
Kentucky,47%,,22%,,31%,food & drink,(1/1/18 - 5/15/18),2018,usa
Oklahoma,55%,,13%,,32%,food & drink,(1/1/18 - 5/15/18),2018,usa
Missouri,41%,2%,27%,1%,29%,food & drink,(1/1/18 - 5/15/18),2018,usa
Indiana,52%,2%,20%,2%,24%,food & drink,(1/1/18 - 5/15/18),2018,usa
Michigan,43%,1%,26%,2%,28%,food & drink,(1/1/18 - 5/15/18),2018,usa
Kansas,51%,3%,28%,,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Mexico,43%,,37%,,20%,food & drink,(1/1/18 - 5/15/18),2018,usa
Arkansas,44%,7%,18%,,31%,food & drink,(1/1/18 - 5/15/18),2018,usa
Wisconsin,43%,1%,19%,2%,35%,food & drink,(1/1/18 - 5/15/18),2018,usa
West Virginia,55%,,18%,,27%,food & drink,(1/1/18 - 5/15/18),2018,usa
Utah,41%,6%,19%,7%,27%,food & drink,(1/1/18 - 5/15/18),2018,usa
Nebraska,5%,6%,42%,,47%,food & drink,(1/1/18 - 5/15/18),2018,usa
North Dakota,37%,,63%,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Montana,50%,,33%,,17%,food & drink,(1/1/18 - 5/15/18),2018,usa
Idaho,37%,,37%,,26%,food & drink,(1/1/18 - 5/15/18),2018,usa
Iowa,16%,,29%,9%,46%,food & drink,(1/1/18 - 5/15/18),2018,usa
Minnesota,36%,1%,34%,1%,28%,food & drink,(1/1/18 - 5/15/18),2018,usa
South Dakota,100%,,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Wyoming,,,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
