Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1990,1990,tonnes,5574461.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1991,1991,tonnes,5397013.05,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1992,1992,tonnes,5692743.38,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1993,1993,tonnes,5993713.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1994,1994,tonnes,5949068.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1995,1995,tonnes,5886429.39,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1996,1996,tonnes,5695157.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1997,1997,tonnes,5755432.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1998,1998,tonnes,6040320.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1999,1999,tonnes,6077890.24,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2000,2000,tonnes,6272600.62,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2001,2001,tonnes,6179018.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2002,2002,tonnes,6576032.14,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2003,2003,tonnes,7016597.26,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2004,2004,tonnes,7342131.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
