Category: Food & Drink

Week,bbq restaurant: (United States),seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States)
2019-05-19,26,76,3,15
2019-05-26,29,79,3,18
2019-06-02,24,80,2,15
2019-06-09,25,88,3,17
2019-06-16,31,83,2,17
2019-06-23,30,82,4,19
2019-06-30,32,90,3,20
2019-07-07,25,82,5,16
2019-07-14,25,85,2,15
2019-07-21,22,100,4,15
2019-07-28,25,93,4,18
2019-08-04,25,88,2,18
2019-08-11,23,81,3,17
2019-08-18,26,76,3,20
2019-08-25,19,74,2,16
2019-09-01,24,72,3,16
2019-09-08,21,63,2,13
2019-09-15,20,69,3,17
2019-09-22,18,67,2,14
2019-09-29,21,61,2,15
2019-10-06,23,58,2,16
2019-10-13,20,58,2,19
2019-10-20,22,60,2,17
2019-10-27,19,50,2,17
2019-11-03,18,52,3,20
2019-11-10,20,55,2,19
2019-11-17,19,49,2,17
2019-11-24,21,52,3,22
2019-12-01,16,46,2,18
2019-12-08,18,44,3,16
2019-12-15,17,56,3,26
2019-12-22,24,79,3,47
2019-12-29,28,81,4,32
2020-01-05,23,75,4,18
2020-01-12,21,65,4,18
2020-01-19,23,76,3,21
2020-01-26,20,63,3,15
2020-02-02,22,60,3,17
2020-02-09,24,81,6,21
2020-02-16,26,64,4,20
2020-02-23,24,69,4,21
2020-03-01,22,68,3,17
2020-03-08,17,53,3,16
2020-03-15,11,29,5,15
2020-03-22,11,23,8,16
2020-03-29,14,26,8,22
2020-04-05,13,25,8,28
2020-04-12,15,25,11,28
2020-04-19,16,31,10,33
2020-04-26,17,34,7,28
2020-05-03,16,41,8,33
