Category: Food & Drink

Region,bbq restaurant: (1/1/20 - 5/13/20),seafood restaurant: (1/1/20 - 5/13/20),seafood delivery: (1/1/20 - 5/13/20),seafood recipe: (1/1/20 - 5/13/20)
Louisiana,7%,66%,5%,22%
Delaware,6%,69%,7%,18%
Hawaii,15%,58%,,27%
Maryland,10%,60%,8%,22%
South Carolina,12%,64%,3%,21%
Florida,15%,65%,4%,16%
North Carolina,15%,62%,5%,18%
Georgia,15%,59%,5%,21%
Virginia,17%,60%,5%,18%
District of Columbia,10%,55%,8%,27%
Alabama,24%,56%,4%,16%
Mississippi,14%,51%,5%,30%
New Jersey,17%,54%,6%,23%
New York,17%,52%,7%,24%
Massachusetts,11%,57%,8%,24%
Texas,21%,52%,5%,22%
Pennsylvania,15%,52%,8%,25%
Maine,9%,48%,6%,37%
Nevada,27%,43%,6%,24%
Tennessee,24%,46%,4%,26%
Rhode Island,8%,45%,15%,32%
Connecticut,12%,50%,8%,30%
California,24%,48%,5%,23%
New Hampshire,17%,53%,7%,23%
Ohio,18%,47%,7%,28%
Illinois,23%,43%,5%,29%
Washington,22%,44%,3%,31%
Kentucky,18%,48%,6%,28%
Indiana,20%,42%,8%,30%
Oregon,19%,46%,5%,30%
Arkansas,24%,40%,11%,25%
Kansas,21%,51%,6%,22%
Missouri,31%,36%,6%,27%
Oklahoma,35%,44%,2%,19%
Michigan,21%,42%,4%,33%
Arizona,32%,42%,4%,22%
Colorado,30%,42%,4%,24%
New Mexico,23%,43%,5%,29%
Vermont,36%,41%,,23%
Minnesota,22%,37%,3%,38%
Alaska,,50%,,50%
West Virginia,32%,39%,,29%
Wisconsin,33%,33%,3%,31%
Idaho,20%,36%,,44%
Iowa,20%,44%,8%,28%
South Dakota,,100%,,
Montana,39%,15%,,46%
Utah,34%,40%,3%,23%
Nebraska,42%,31%,,27%
North Dakota,,33%,,67%
Wyoming,,,,
