Region,seafood restaurant: (1/1/16 - 5/15/16),seafood recipe: (1/1/16 - 5/15/16),seafood delivery: (1/1/16 - 5/15/16),sushi take out: (1/1/16 - 5/15/16),bbq restaurant: (1/1/16 - 5/15/16),category,date_range,year,country
South Carolina,64%,5%,16%,<1%,15%,food & drink, (1/1/20 - 6/15/20),2020,usa
Louisiana,60%,8%,24%,1%,7%,food & drink, (1/1/20 - 6/15/20),2020,usa
Maryland,58%,9%,24%,1%,8%,food & drink, (1/1/20 - 6/15/20),2020,usa
Delaware,56%,7%,27%,,10%,food & drink, (1/1/20 - 6/15/20),2020,usa
Florida,61%,4%,17%,2%,16%,food & drink, (1/1/20 - 6/15/20),2020,usa
North Carolina,61%,4%,18%,1%,16%,food & drink, (1/1/20 - 6/15/20),2020,usa
Georgia,58%,4%,20%,<1%,18%,food & drink, (1/1/20 - 6/15/20),2020,usa
Virginia,56%,6%,22%,2%,14%,food & drink, (1/1/20 - 6/15/20),2020,usa
Mississippi,60%,4%,25%,,11%,food & drink, (1/1/20 - 6/15/20),2020,usa
Alabama,52%,4%,22%,,22%,food & drink, (1/1/20 - 6/15/20),2020,usa
District of Columbia,47%,14%,27%,,12%,food & drink, (1/1/20 - 6/15/20),2020,usa
Hawaii,37%,1%,29%,13%,20%,food & drink, (1/1/20 - 6/15/20),2020,usa
Massachusetts,56%,8%,20%,4%,12%,food & drink, (1/1/20 - 6/15/20),2020,usa
Maine,58%,4%,21%,,17%,food & drink, (1/1/20 - 6/15/20),2020,usa
New Hampshire,52%,6%,29%,,13%,food & drink, (1/1/20 - 6/15/20),2020,usa
New Jersey,52%,7%,22%,3%,16%,food & drink, (1/1/20 - 6/15/20),2020,usa
Rhode Island,46%,13%,33%,,8%,food & drink, (1/1/20 - 6/15/20),2020,usa
New York,50%,7%,25%,2%,16%,food & drink, (1/1/20 - 6/15/20),2020,usa
Texas,49%,6%,21%,1%,23%,food & drink, (1/1/20 - 6/15/20),2020,usa
Connecticut,51%,8%,25%,4%,12%,food & drink, (1/1/20 - 6/15/20),2020,usa
Pennsylvania,50%,8%,26%,2%,14%,food & drink, (1/1/20 - 6/15/20),2020,usa
Tennessee,45%,5%,24%,<1%,26%,food & drink, (1/1/20 - 6/15/20),2020,usa
Nevada,37%,7%,24%,6%,26%,food & drink, (1/1/20 - 6/15/20),2020,usa
Kentucky,51%,5%,24%,,20%,food & drink, (1/1/20 - 6/15/20),2020,usa
California,42%,5%,24%,4%,25%,food & drink, (1/1/20 - 6/15/20),2020,usa
Illinois,42%,5%,27%,2%,24%,food & drink, (1/1/20 - 6/15/20),2020,usa
Ohio,46%,4%,29%,1%,20%,food & drink, (1/1/20 - 6/15/20),2020,usa
Oregon,44%,4%,25%,6%,21%,food & drink, (1/1/20 - 6/15/20),2020,usa
Arkansas,44%,4%,22%,,30%,food & drink, (1/1/20 - 6/15/20),2020,usa
Indiana,44%,5%,28%,3%,20%,food & drink, (1/1/20 - 6/15/20),2020,usa
Vermont,37%,,30%,,33%,food & drink, (1/1/20 - 6/15/20),2020,usa
Colorado,39%,5%,22%,7%,27%,food & drink, (1/1/20 - 6/15/20),2020,usa
Arizona,38%,3%,23%,6%,30%,food & drink, (1/1/20 - 6/15/20),2020,usa
Alaska,41%,,59%,,,food & drink, (1/1/20 - 6/15/20),2020,usa
Kansas,41%,2%,26%,,31%,food & drink, (1/1/20 - 6/15/20),2020,usa
Missouri,35%,6%,30%,1%,28%,food & drink, (1/1/20 - 6/15/20),2020,usa
Washington,35%,3%,31%,5%,26%,food & drink, (1/1/20 - 6/15/20),2020,usa
Oklahoma,41%,4%,23%,,32%,food & drink, (1/1/20 - 6/15/20),2020,usa
Michigan,39%,4%,36%,3%,18%,food & drink, (1/1/20 - 6/15/20),2020,usa
New Mexico,49%,6%,25%,,20%,food & drink, (1/1/20 - 6/15/20),2020,usa
West Virginia,45%,,28%,,27%,food & drink, (1/1/20 - 6/15/20),2020,usa
Wisconsin,32%,4%,33%,4%,27%,food & drink, (1/1/20 - 6/15/20),2020,usa
Minnesota,30%,6%,35%,8%,21%,food & drink, (1/1/20 - 6/15/20),2020,usa
Utah,47%,2%,19%,7%,25%,food & drink, (1/1/20 - 6/15/20),2020,usa
North Dakota,41%,,59%,,,food & drink, (1/1/20 - 6/15/20),2020,usa
Nebraska,28%,7%,29%,12%,24%,food & drink, (1/1/20 - 6/15/20),2020,usa
Montana,39%,,39%,,22%,food & drink, (1/1/20 - 6/15/20),2020,usa
Iowa,34%,6%,29%,5%,26%,food & drink, (1/1/20 - 6/15/20),2020,usa
Idaho,25%,,43%,,32%,food & drink, (1/1/20 - 6/15/20),2020,usa
Wyoming,,,,,100%,food & drink, (1/1/20 - 6/15/20),2020,usa
South Dakota,,,,,,food & drink, (1/1/20 - 6/15/20),2020,usa
