Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/18,1/1,40,1,26,2,14,food & drink,2018,usa
1/2/18,1/2,26,3,12,2,10,food & drink,2018,usa
1/3/18,1/3,22,1,13,1,8,food & drink,2018,usa
1/4/18,1/4,29,1,12,1,10,food & drink,2018,usa
1/5/18,1/5,32,2,14,2,11,food & drink,2018,usa
1/6/18,1/6,38,2,17,2,16,food & drink,2018,usa
1/7/18,1/7,42,1,17,1,15,food & drink,2018,usa
1/8/18,1/8,22,1,11,0,8,food & drink,2018,usa
1/9/18,1/9,24,1,10,0,8,food & drink,2018,usa
1/10/18,1/10,24,2,6,1,11,food & drink,2018,usa
1/11/18,1/11,23,2,7,1,7,food & drink,2018,usa
1/12/18,1/12,31,1,10,2,12,food & drink,2018,usa
1/13/18,1/13,40,1,19,2,13,food & drink,2018,usa
1/14/18,1/14,37,2,19,1,18,food & drink,2018,usa
1/15/18,1/15,30,1,9,1,14,food & drink,2018,usa
1/16/18,1/16,23,0,10,1,6,food & drink,2018,usa
1/17/18,1/17,28,1,9,1,7,food & drink,2018,usa
1/18/18,1/18,26,1,10,0,8,food & drink,2018,usa
1/19/18,1/19,34,0,6,1,13,food & drink,2018,usa
1/20/18,1/20,52,2,11,0,20,food & drink,2018,usa
1/21/18,1/21,41,2,14,2,19,food & drink,2018,usa
1/22/18,1/22,23,1,9,1,8,food & drink,2018,usa
1/23/18,1/23,24,1,9,1,12,food & drink,2018,usa
1/24/18,1/24,27,0,8,1,10,food & drink,2018,usa
1/25/18,1/25,24,1,11,2,7,food & drink,2018,usa
1/26/18,1/26,40,1,9,1,10,food & drink,2018,usa
1/27/18,1/27,57,2,19,2,21,food & drink,2018,usa
1/28/18,1/28,40,2,16,0,17,food & drink,2018,usa
1/29/18,1/29,23,1,6,1,11,food & drink,2018,usa
1/30/18,1/30,19,1,10,2,8,food & drink,2018,usa
1/31/18,1/31,25,1,8,1,11,food & drink,2018,usa
2/1/18,2/1,20,2,10,0,8,food & drink,2018,usa
2/2/18,2/2,33,1,8,2,15,food & drink,2018,usa
2/3/18,2/3,47,2,13,2,18,food & drink,2018,usa
2/4/18,2/4,33,1,12,2,15,food & drink,2018,usa
2/5/18,2/5,22,3,11,2,11,food & drink,2018,usa
2/6/18,2/6,24,1,11,1,11,food & drink,2018,usa
2/7/18,2/7,23,1,11,0,8,food & drink,2018,usa
2/8/18,2/8,28,1,10,1,9,food & drink,2018,usa
2/9/18,2/9,37,1,9,0,9,food & drink,2018,usa
2/10/18,2/10,61,2,13,2,14,food & drink,2018,usa
2/11/18,2/11,37,2,18,1,12,food & drink,2018,usa
2/12/18,2/12,33,2,13,0,8,food & drink,2018,usa
2/13/18,2/13,34,1,17,1,14,food & drink,2018,usa
2/14/18,2/14,56,2,15,2,11,food & drink,2018,usa
2/15/18,2/15,36,1,10,1,8,food & drink,2018,usa
2/16/18,2/16,50,1,12,1,12,food & drink,2018,usa
2/17/18,2/17,67,2,13,3,18,food & drink,2018,usa
2/18/18,2/18,52,2,15,3,23,food & drink,2018,usa
2/19/18,2/19,37,2,12,3,13,food & drink,2018,usa
2/20/18,2/20,31,1,11,1,11,food & drink,2018,usa
2/21/18,2/21,26,2,10,2,6,food & drink,2018,usa
2/22/18,2/22,30,2,9,1,9,food & drink,2018,usa
2/23/18,2/23,43,1,14,2,13,food & drink,2018,usa
2/24/18,2/24,53,3,13,3,16,food & drink,2018,usa
2/25/18,2/25,48,5,13,2,17,food & drink,2018,usa
2/26/18,2/26,25,1,7,1,10,food & drink,2018,usa
2/27/18,2/27,28,1,9,1,9,food & drink,2018,usa
2/28/18,2/28,25,1,6,1,8,food & drink,2018,usa
3/1/18,3/1,31,1,7,2,9,food & drink,2018,usa
3/2/18,3/2,41,2,11,2,9,food & drink,2018,usa
3/3/18,3/3,53,2,13,3,19,food & drink,2018,usa
3/4/18,3/4,49,2,13,2,18,food & drink,2018,usa
3/5/18,3/5,27,1,8,2,8,food & drink,2018,usa
3/6/18,3/6,29,1,9,1,8,food & drink,2018,usa
3/7/18,3/7,29,1,9,1,8,food & drink,2018,usa
3/8/18,3/8,31,2,10,1,8,food & drink,2018,usa
3/9/18,3/9,50,0,11,1,13,food & drink,2018,usa
3/10/18,3/10,47,3,17,1,18,food & drink,2018,usa
3/11/18,3/11,45,2,12,2,17,food & drink,2018,usa
3/12/18,3/12,26,1,7,1,8,food & drink,2018,usa
3/13/18,3/13,26,2,8,1,8,food & drink,2018,usa
3/14/18,3/14,28,2,5,1,10,food & drink,2018,usa
3/15/18,3/15,27,1,7,1,9,food & drink,2018,usa
3/16/18,3/16,39,1,9,1,11,food & drink,2018,usa
3/17/18,3/17,55,2,9,2,20,food & drink,2018,usa
3/18/18,3/18,43,2,13,1,14,food & drink,2018,usa
3/19/18,3/19,26,3,7,1,11,food & drink,2018,usa
3/20/18,3/20,19,1,7,2,9,food & drink,2018,usa
3/21/18,3/21,22,1,6,1,13,food & drink,2018,usa
3/22/18,3/22,29,1,5,1,8,food & drink,2018,usa
3/23/18,3/23,42,2,6,2,13,food & drink,2018,usa
3/24/18,3/24,60,3,11,1,17,food & drink,2018,usa
3/25/18,3/25,52,1,16,3,22,food & drink,2018,usa
3/26/18,3/26,25,1,7,1,6,food & drink,2018,usa
3/27/18,3/27,31,1,11,1,8,food & drink,2018,usa
3/28/18,3/28,30,3,7,1,11,food & drink,2018,usa
3/29/18,3/29,39,2,9,2,10,food & drink,2018,usa
3/30/18,3/30,45,1,10,3,15,food & drink,2018,usa
3/31/18,3/31,52,5,10,2,21,food & drink,2018,usa
4/1/18,4/1,44,1,11,1,20,food & drink,2018,usa
4/2/18,4/2,28,3,7,2,11,food & drink,2018,usa
4/3/18,4/3,26,3,7,1,6,food & drink,2018,usa
4/4/18,4/4,27,2,4,1,11,food & drink,2018,usa
4/5/18,4/5,32,2,5,1,12,food & drink,2018,usa
4/6/18,4/6,37,1,7,2,13,food & drink,2018,usa
4/7/18,4/7,56,3,11,2,14,food & drink,2018,usa
4/8/18,4/8,41,3,13,2,15,food & drink,2018,usa
4/9/18,4/9,22,1,6,1,12,food & drink,2018,usa
4/10/18,4/10,27,2,4,2,11,food & drink,2018,usa
4/11/18,4/11,28,1,8,1,9,food & drink,2018,usa
4/12/18,4/12,24,1,5,1,12,food & drink,2018,usa
4/13/18,4/13,34,2,7,0,14,food & drink,2018,usa
4/14/18,4/14,51,1,14,2,19,food & drink,2018,usa
4/15/18,4/15,40,2,10,1,15,food & drink,2018,usa
4/16/18,4/16,23,2,5,0,8,food & drink,2018,usa
4/17/18,4/17,24,3,5,1,10,food & drink,2018,usa
4/18/18,4/18,26,1,6,1,11,food & drink,2018,usa
4/19/18,4/19,26,1,6,1,9,food & drink,2018,usa
4/20/18,4/20,32,2,7,3,14,food & drink,2018,usa
4/21/18,4/21,53,3,11,2,16,food & drink,2018,usa
4/22/18,4/22,45,1,7,1,14,food & drink,2018,usa
4/23/18,4/23,21,1,6,1,12,food & drink,2018,usa
4/24/18,4/24,24,1,5,2,12,food & drink,2018,usa
4/25/18,4/25,24,2,7,1,6,food & drink,2018,usa
4/26/18,4/26,24,1,6,1,8,food & drink,2018,usa
4/27/18,4/27,38,1,7,2,11,food & drink,2018,usa
4/28/18,4/28,70,2,8,2,20,food & drink,2018,usa
4/29/18,4/29,48,2,12,1,19,food & drink,2018,usa
4/30/18,4/30,29,3,5,1,10,food & drink,2018,usa
5/1/18,5/1,25,1,4,3,9,food & drink,2018,usa
5/2/18,5/2,30,1,5,1,11,food & drink,2018,usa
5/3/18,5/3,28,0,4,4,10,food & drink,2018,usa
5/4/18,5/4,37,0,6,1,10,food & drink,2018,usa
5/5/18,5/5,60,3,7,0,14,food & drink,2018,usa
5/6/18,5/6,60,1,12,1,14,food & drink,2018,usa
5/7/18,5/7,26,1,5,2,13,food & drink,2018,usa
5/8/18,5/8,34,0,6,1,8,food & drink,2018,usa
5/9/18,5/9,35,2,6,2,8,food & drink,2018,usa
5/10/18,5/10,37,1,6,0,7,food & drink,2018,usa
5/11/18,5/11,53,1,8,0,9,food & drink,2018,usa
5/12/18,5/12,86,2,10,1,18,food & drink,2018,usa
5/13/18,5/13,100,2,18,4,15,food & drink,2018,usa
5/14/18,5/14,32,3,7,1,8,food & drink,2018,usa
5/15/18,5/15,33,1,6,2,10,food & drink,2018,usa
5/16/18,5/16,27,1,6,1,10,food & drink,2018,usa
5/17/18,5/17,38,2,6,1,9,food & drink,2018,usa
5/18/18,5/18,44,1,7,2,14,food & drink,2018,usa
5/19/18,5/19,63,3,12,1,15,food & drink,2018,usa
