Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
4/13/17,4/13,41,1,9,5,11,food & drink,2017,usa
4/14/17,4/14,67,4,15,2,21,food & drink,2017,usa
4/15/17,4/15,75,4,14,2,15,food & drink,2017,usa
4/16/17,4/16,61,2,13,2,21,food & drink,2017,usa
4/17/17,4/17,26,2,5,2,15,food & drink,2017,usa
4/18/17,4/18,28,1,8,2,9,food & drink,2017,usa
4/19/17,4/19,38,1,6,1,13,food & drink,2017,usa
4/20/17,4/20,34,1,6,4,12,food & drink,2017,usa
4/21/17,4/21,47,1,7,1,17,food & drink,2017,usa
4/22/17,4/22,61,3,10,2,20,food & drink,2017,usa
4/23/17,4/23,64,2,17,4,18,food & drink,2017,usa
4/24/17,4/24,30,2,10,2,17,food & drink,2017,usa
4/25/17,4/25,27,4,6,1,9,food & drink,2017,usa
4/26/17,4/26,29,1,9,2,15,food & drink,2017,usa
4/27/17,4/27,34,1,4,0,11,food & drink,2017,usa
4/28/17,4/28,43,1,6,3,17,food & drink,2017,usa
4/29/17,4/29,74,2,13,2,23,food & drink,2017,usa
4/30/17,4/30,64,5,10,2,21,food & drink,2017,usa
5/1/17,5/1,34,1,8,1,16,food & drink,2017,usa
5/2/17,5/2,36,2,4,2,15,food & drink,2017,usa
5/3/17,5/3,34,2,10,4,11,food & drink,2017,usa
5/4/17,5/4,29,1,11,1,13,food & drink,2017,usa
5/5/17,5/5,43,3,6,1,10,food & drink,2017,usa
5/6/17,5/6,74,3,14,2,22,food & drink,2017,usa
5/7/17,5/7,63,2,11,2,18,food & drink,2017,usa
5/8/17,5/8,33,3,10,1,13,food & drink,2017,usa
5/9/17,5/9,34,1,9,1,12,food & drink,2017,usa
5/10/17,5/10,32,3,7,4,11,food & drink,2017,usa
5/11/17,5/11,45,1,6,1,13,food & drink,2017,usa
5/12/17,5/12,66,2,6,3,17,food & drink,2017,usa
5/13/17,5/13,68,2,15,2,28,food & drink,2017,usa
5/14/17,5/14,95,2,27,3,30,food & drink,2017,usa
5/15/17,5/15,38,3,7,1,13,food & drink,2017,usa
5/16/17,5/16,32,1,9,1,12,food & drink,2017,usa
5/17/17,5/17,38,1,5,1,13,food & drink,2017,usa
5/18/17,5/18,37,1,5,2,10,food & drink,2017,usa
5/19/17,5/19,45,1,7,2,13,food & drink,2017,usa
5/20/17,5/20,67,3,12,2,23,food & drink,2017,usa
5/21/17,5/21,64,2,11,2,25,food & drink,2017,usa
5/22/17,5/22,39,2,12,3,16,food & drink,2017,usa
5/23/17,5/23,30,1,10,1,12,food & drink,2017,usa
5/24/17,5/24,39,3,5,3,12,food & drink,2017,usa
5/25/17,5/25,42,1,8,1,9,food & drink,2017,usa
5/26/17,5/26,46,2,13,1,18,food & drink,2017,usa
5/27/17,5/27,73,3,14,2,25,food & drink,2017,usa
5/28/17,5/28,82,3,15,2,32,food & drink,2017,usa
5/29/17,5/29,52,2,9,3,35,food & drink,2017,usa
5/30/17,5/30,35,2,9,1,7,food & drink,2017,usa
5/31/17,5/31,33,2,8,1,10,food & drink,2017,usa
6/1/17,6/1,36,1,8,1,12,food & drink,2017,usa
6/2/17,6/2,51,1,10,2,14,food & drink,2017,usa
6/3/17,6/3,69,2,18,3,17,food & drink,2017,usa
6/4/17,6/4,62,2,13,2,23,food & drink,2017,usa
6/5/17,6/5,38,3,8,1,13,food & drink,2017,usa
6/6/17,6/6,41,1,7,3,16,food & drink,2017,usa
6/7/17,6/7,41,2,9,3,16,food & drink,2017,usa
6/8/17,6/8,53,2,6,1,12,food & drink,2017,usa
6/9/17,6/9,52,1,5,1,19,food & drink,2017,usa
6/10/17,6/10,76,2,10,2,19,food & drink,2017,usa
6/11/17,6/11,76,2,17,2,28,food & drink,2017,usa
6/12/17,6/12,40,3,8,1,13,food & drink,2017,usa
6/13/17,6/13,39,3,9,3,13,food & drink,2017,usa
6/14/17,6/14,50,2,7,2,17,food & drink,2017,usa
6/15/17,6/15,53,0,7,0,16,food & drink,2017,usa
6/16/17,6/16,63,3,8,1,23,food & drink,2017,usa
6/17/17,6/17,91,3,15,2,26,food & drink,2017,usa
6/18/17,6/18,100,2,18,3,33,food & drink,2017,usa
6/19/17,6/19,54,3,7,0,14,food & drink,2017,usa
6/20/17,6/20,46,1,6,2,16,food & drink,2017,usa
6/21/17,6/21,49,1,5,1,11,food & drink,2017,usa
6/22/17,6/22,50,1,9,1,16,food & drink,2017,usa
6/23/17,6/23,62,1,7,1,20,food & drink,2017,usa
6/24/17,6/24,77,2,15,3,23,food & drink,2017,usa
6/25/17,6/25,77,3,18,2,29,food & drink,2017,usa
6/26/17,6/26,49,2,10,0,17,food & drink,2017,usa
6/27/17,6/27,51,2,6,1,15,food & drink,2017,usa
6/28/17,6/28,50,3,11,1,16,food & drink,2017,usa
6/29/17,6/29,41,1,12,1,16,food & drink,2017,usa
6/30/17,6/30,61,2,12,0,20,food & drink,2017,usa
7/1/17,7/1,80,3,10,2,28,food & drink,2017,usa
7/2/17,7/2,95,4,17,3,26,food & drink,2017,usa
7/3/17,7/3,85,3,14,3,26,food & drink,2017,usa
7/4/17,7/4,83,3,17,2,32,food & drink,2017,usa
7/5/17,7/5,38,2,6,1,20,food & drink,2017,usa
7/6/17,7/6,55,3,8,1,18,food & drink,2017,usa
7/7/17,7/7,61,2,9,1,20,food & drink,2017,usa
7/8/17,7/8,81,2,16,2,16,food & drink,2017,usa
7/9/17,7/9,78,4,13,3,19,food & drink,2017,usa
7/10/17,7/10,64,1,10,1,18,food & drink,2017,usa
7/11/17,7/11,49,3,11,1,13,food & drink,2017,usa
7/12/17,7/12,44,2,10,2,17,food & drink,2017,usa
7/13/17,7/13,49,1,8,0,14,food & drink,2017,usa
7/14/17,7/14,64,2,10,4,21,food & drink,2017,usa
7/15/17,7/15,91,5,13,2,23,food & drink,2017,usa
7/16/17,7/16,86,3,15,2,23,food & drink,2017,usa
7/17/17,7/17,54,3,6,1,9,food & drink,2017,usa
7/18/17,7/18,46,4,7,1,15,food & drink,2017,usa
7/19/17,7/19,57,2,11,2,16,food & drink,2017,usa
7/20/17,7/20,51,2,7,1,14,food & drink,2017,usa
7/21/17,7/21,58,4,11,0,19,food & drink,2017,usa
7/22/17,7/22,89,4,12,2,23,food & drink,2017,usa
7/23/17,7/23,80,3,16,3,24,food & drink,2017,usa
7/24/17,7/24,51,3,10,3,14,food & drink,2017,usa
7/25/17,7/25,46,2,6,1,13,food & drink,2017,usa
7/26/17,7/26,51,1,8,1,13,food & drink,2017,usa
7/27/17,7/27,55,1,6,0,13,food & drink,2017,usa
7/28/17,7/28,71,2,10,1,17,food & drink,2017,usa
7/29/17,7/29,87,2,11,2,22,food & drink,2017,usa
7/30/17,7/30,80,2,9,2,24,food & drink,2017,usa
7/31/17,7/31,59,3,8,4,15,food & drink,2017,usa
8/1/17,8/1,52,2,9,1,13,food & drink,2017,usa
8/2/17,8/2,53,2,9,1,15,food & drink,2017,usa
8/3/17,8/3,55,2,4,0,12,food & drink,2017,usa
8/4/17,8/4,64,1,12,2,14,food & drink,2017,usa
8/5/17,8/5,77,0,14,2,23,food & drink,2017,usa
8/6/17,8/6,82,2,12,2,26,food & drink,2017,usa
8/7/17,8/7,47,1,8,3,14,food & drink,2017,usa
8/8/17,8/8,46,3,5,1,10,food & drink,2017,usa
8/9/17,8/9,49,3,8,2,17,food & drink,2017,usa
8/10/17,8/10,42,1,5,7,12,food & drink,2017,usa
8/11/17,8/11,66,2,8,1,19,food & drink,2017,usa
8/12/17,8/12,72,2,12,2,20,food & drink,2017,usa
8/13/17,8/13,69,2,12,2,22,food & drink,2017,usa
8/14/17,8/14,50,1,10,1,14,food & drink,2017,usa
8/15/17,8/15,43,0,8,1,14,food & drink,2017,usa
8/16/17,8/16,47,1,6,1,14,food & drink,2017,usa
8/17/17,8/17,55,3,13,2,14,food & drink,2017,usa
8/18/17,8/18,56,2,10,1,18,food & drink,2017,usa
8/19/17,8/19,92,3,10,2,19,food & drink,2017,usa
