Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/17,1/1,45,2,16,2,16,food & drink,2017,usa
1/2/17,1/2,44,2,16,0,20,food & drink,2017,usa
1/3/17,1/3,32,3,6,1,12,food & drink,2017,usa
1/4/17,1/4,28,3,8,1,13,food & drink,2017,usa
1/5/17,1/5,33,1,10,4,8,food & drink,2017,usa
1/6/17,1/6,33,1,12,1,9,food & drink,2017,usa
1/7/17,1/7,38,3,19,2,19,food & drink,2017,usa
1/8/17,1/8,42,2,16,2,12,food & drink,2017,usa
1/9/17,1/9,21,0,12,1,10,food & drink,2017,usa
1/10/17,1/10,23,1,4,0,8,food & drink,2017,usa
1/11/17,1/11,22,1,9,1,12,food & drink,2017,usa
1/12/17,1/12,25,1,10,1,13,food & drink,2017,usa
1/13/17,1/13,34,1,11,1,17,food & drink,2017,usa
1/14/17,1/14,58,2,17,2,15,food & drink,2017,usa
1/15/17,1/15,47,1,16,1,21,food & drink,2017,usa
1/16/17,1/16,41,2,11,1,14,food & drink,2017,usa
1/17/17,1/17,28,1,5,1,10,food & drink,2017,usa
1/18/17,1/18,20,1,12,1,11,food & drink,2017,usa
1/19/17,1/19,38,1,8,1,9,food & drink,2017,usa
1/20/17,1/20,41,1,14,1,11,food & drink,2017,usa
1/21/17,1/21,59,4,14,3,18,food & drink,2017,usa
1/22/17,1/22,42,2,22,3,18,food & drink,2017,usa
1/23/17,1/23,27,2,9,1,11,food & drink,2017,usa
1/24/17,1/24,28,1,9,1,12,food & drink,2017,usa
1/25/17,1/25,29,1,8,2,13,food & drink,2017,usa
1/26/17,1/26,24,1,7,0,13,food & drink,2017,usa
1/27/17,1/27,46,2,8,2,15,food & drink,2017,usa
1/28/17,1/28,63,2,12,5,22,food & drink,2017,usa
1/29/17,1/29,62,2,15,0,18,food & drink,2017,usa
1/30/17,1/30,34,2,10,1,12,food & drink,2017,usa
1/31/17,1/31,27,3,10,1,10,food & drink,2017,usa
2/1/17,2/1,28,1,9,2,9,food & drink,2017,usa
2/2/17,2/2,30,2,13,1,10,food & drink,2017,usa
2/3/17,2/3,39,1,12,3,15,food & drink,2017,usa
2/4/17,2/4,49,2,23,2,16,food & drink,2017,usa
2/5/17,2/5,39,1,22,3,17,food & drink,2017,usa
2/6/17,2/6,24,4,10,2,11,food & drink,2017,usa
2/7/17,2/7,35,2,10,2,11,food & drink,2017,usa
2/8/17,2/8,35,1,10,1,13,food & drink,2017,usa
2/9/17,2/9,39,3,8,1,16,food & drink,2017,usa
2/10/17,2/10,45,1,10,2,14,food & drink,2017,usa
2/11/17,2/11,70,4,18,5,22,food & drink,2017,usa
2/12/17,2/12,52,5,22,0,18,food & drink,2017,usa
2/13/17,2/13,43,1,13,2,11,food & drink,2017,usa
2/14/17,2/14,64,3,14,3,15,food & drink,2017,usa
2/15/17,2/15,51,1,11,2,11,food & drink,2017,usa
2/16/17,2/16,36,1,8,3,13,food & drink,2017,usa
2/17/17,2/17,38,2,13,2,12,food & drink,2017,usa
2/18/17,2/18,82,2,17,1,19,food & drink,2017,usa
2/19/17,2/19,67,2,18,3,26,food & drink,2017,usa
2/20/17,2/20,37,0,9,3,14,food & drink,2017,usa
2/21/17,2/21,29,1,7,2,13,food & drink,2017,usa
2/22/17,2/22,33,0,7,4,10,food & drink,2017,usa
2/23/17,2/23,33,1,6,0,14,food & drink,2017,usa
2/24/17,2/24,39,2,8,2,15,food & drink,2017,usa
2/25/17,2/25,77,3,13,2,23,food & drink,2017,usa
2/26/17,2/26,69,1,12,1,24,food & drink,2017,usa
2/27/17,2/27,25,0,9,1,12,food & drink,2017,usa
2/28/17,2/28,42,2,9,4,9,food & drink,2017,usa
3/1/17,3/1,29,2,14,2,11,food & drink,2017,usa
3/2/17,3/2,41,3,8,1,12,food & drink,2017,usa
3/3/17,3/3,54,3,16,4,9,food & drink,2017,usa
3/4/17,3/4,70,3,14,1,35,food & drink,2017,usa
3/5/17,3/5,62,2,15,2,21,food & drink,2017,usa
3/6/17,3/6,32,1,9,2,12,food & drink,2017,usa
3/7/17,3/7,37,1,7,2,8,food & drink,2017,usa
3/8/17,3/8,37,2,10,1,12,food & drink,2017,usa
3/9/17,3/9,45,2,7,2,15,food & drink,2017,usa
3/10/17,3/10,49,1,11,1,14,food & drink,2017,usa
3/11/17,3/11,78,1,14,1,24,food & drink,2017,usa
3/12/17,3/12,65,6,18,1,22,food & drink,2017,usa
3/13/17,3/13,38,1,8,2,16,food & drink,2017,usa
3/14/17,3/14,37,0,11,1,12,food & drink,2017,usa
3/15/17,3/15,30,2,6,1,10,food & drink,2017,usa
3/16/17,3/16,39,1,9,1,13,food & drink,2017,usa
3/17/17,3/17,53,1,7,0,15,food & drink,2017,usa
3/18/17,3/18,69,2,11,2,20,food & drink,2017,usa
3/19/17,3/19,56,1,9,2,26,food & drink,2017,usa
3/20/17,3/20,30,1,10,1,11,food & drink,2017,usa
3/21/17,3/21,30,1,10,2,15,food & drink,2017,usa
3/22/17,3/22,31,2,7,2,9,food & drink,2017,usa
3/23/17,3/23,35,0,7,1,14,food & drink,2017,usa
3/24/17,3/24,54,3,13,1,15,food & drink,2017,usa
3/25/17,3/25,60,3,13,3,28,food & drink,2017,usa
3/26/17,3/26,46,1,14,2,21,food & drink,2017,usa
3/27/17,3/27,36,2,5,3,15,food & drink,2017,usa
3/28/17,3/28,29,1,8,1,13,food & drink,2017,usa
3/29/17,3/29,34,1,9,1,14,food & drink,2017,usa
3/30/17,3/30,39,1,8,2,13,food & drink,2017,usa
3/31/17,3/31,51,3,14,3,16,food & drink,2017,usa
4/1/17,4/1,73,3,18,2,26,food & drink,2017,usa
4/2/17,4/2,57,5,14,2,23,food & drink,2017,usa
4/3/17,4/3,30,1,7,2,15,food & drink,2017,usa
4/4/17,4/4,37,2,7,1,17,food & drink,2017,usa
4/5/17,4/5,43,2,6,1,10,food & drink,2017,usa
4/6/17,4/6,36,3,12,2,15,food & drink,2017,usa
4/7/17,4/7,46,2,9,3,14,food & drink,2017,usa
4/8/17,4/8,73,6,9,2,25,food & drink,2017,usa
4/9/17,4/9,62,2,15,3,22,food & drink,2017,usa
4/10/17,4/10,43,1,9,0,15,food & drink,2017,usa
4/11/17,4/11,34,1,8,1,9,food & drink,2017,usa
4/12/17,4/12,38,0,9,0,11,food & drink,2017,usa
