Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/19,1/1,48,2,34,3,19,food & drink,2019,usa
1/2/19,1/2,38,1,13,2,13,food & drink,2019,usa
1/3/19,1/3,31,1,10,2,9,food & drink,2019,usa
1/4/19,1/4,40,3,15,1,15,food & drink,2019,usa
1/5/19,1/5,44,2,19,1,18,food & drink,2019,usa
1/6/19,1/6,42,3,16,1,17,food & drink,2019,usa
1/7/19,1/7,28,1,11,1,11,food & drink,2019,usa
1/8/19,1/8,29,2,10,0,13,food & drink,2019,usa
1/9/19,1/9,27,1,8,0,10,food & drink,2019,usa
1/10/19,1/10,30,0,9,1,9,food & drink,2019,usa
1/11/19,1/11,36,1,13,1,11,food & drink,2019,usa
1/12/19,1/12,49,2,22,1,20,food & drink,2019,usa
1/13/19,1/13,38,3,21,2,16,food & drink,2019,usa
1/14/19,1/14,27,0,15,1,12,food & drink,2019,usa
1/15/19,1/15,26,2,9,1,9,food & drink,2019,usa
1/16/19,1/16,34,0,12,1,13,food & drink,2019,usa
1/17/19,1/17,36,2,13,1,10,food & drink,2019,usa
1/18/19,1/18,37,1,15,2,8,food & drink,2019,usa
1/19/19,1/19,49,1,17,2,16,food & drink,2019,usa
1/20/19,1/20,46,5,24,0,18,food & drink,2019,usa
1/21/19,1/21,35,2,10,0,13,food & drink,2019,usa
1/22/19,1/22,26,2,9,1,13,food & drink,2019,usa
1/23/19,1/23,26,0,8,1,9,food & drink,2019,usa
1/24/19,1/24,39,2,11,1,10,food & drink,2019,usa
1/25/19,1/25,43,2,9,2,15,food & drink,2019,usa
1/26/19,1/26,72,2,18,0,22,food & drink,2019,usa
1/27/19,1/27,54,3,19,2,13,food & drink,2019,usa
1/28/19,1/28,29,3,10,1,10,food & drink,2019,usa
1/29/19,1/29,26,1,10,1,9,food & drink,2019,usa
1/30/19,1/30,27,1,12,2,7,food & drink,2019,usa
1/31/19,1/31,36,1,11,0,12,food & drink,2019,usa
2/1/19,2/1,35,2,13,1,16,food & drink,2019,usa
2/2/19,2/2,67,2,21,2,23,food & drink,2019,usa
2/3/19,2/3,42,3,24,1,16,food & drink,2019,usa
2/4/19,2/4,33,2,12,2,11,food & drink,2019,usa
2/5/19,2/5,27,1,6,0,11,food & drink,2019,usa
2/6/19,2/6,31,1,6,1,10,food & drink,2019,usa
2/7/19,2/7,38,1,9,1,14,food & drink,2019,usa
2/8/19,2/8,38,2,10,2,14,food & drink,2019,usa
2/9/19,2/9,67,3,14,2,20,food & drink,2019,usa
2/10/19,2/10,57,2,11,1,17,food & drink,2019,usa
2/11/19,2/11,36,2,8,1,9,food & drink,2019,usa
2/12/19,2/12,33,3,13,1,7,food & drink,2019,usa
2/13/19,2/13,43,2,10,2,15,food & drink,2019,usa
2/14/19,2/14,46,3,20,2,12,food & drink,2019,usa
2/15/19,2/15,60,2,12,2,15,food & drink,2019,usa
2/16/19,2/16,75,2,16,1,24,food & drink,2019,usa
2/17/19,2/17,73,2,18,2,23,food & drink,2019,usa
2/18/19,2/18,32,2,12,2,11,food & drink,2019,usa
2/19/19,2/19,29,3,11,2,13,food & drink,2019,usa
2/20/19,2/20,28,2,12,1,10,food & drink,2019,usa
2/21/19,2/21,29,1,6,0,12,food & drink,2019,usa
2/22/19,2/22,47,2,10,2,22,food & drink,2019,usa
2/23/19,2/23,70,4,15,3,25,food & drink,2019,usa
2/24/19,2/24,54,3,18,1,22,food & drink,2019,usa
2/25/19,2/25,35,2,8,1,11,food & drink,2019,usa
2/26/19,2/26,30,1,9,1,14,food & drink,2019,usa
2/27/19,2/27,29,4,8,1,10,food & drink,2019,usa
2/28/19,2/28,32,2,7,1,11,food & drink,2019,usa
3/1/19,3/1,45,2,12,1,13,food & drink,2019,usa
3/2/19,3/2,73,4,19,1,22,food & drink,2019,usa
3/3/19,3/3,47,4,18,2,16,food & drink,2019,usa
3/4/19,3/4,26,2,10,2,10,food & drink,2019,usa
3/5/19,3/5,34,1,11,1,13,food & drink,2019,usa
3/6/19,3/6,38,1,15,0,13,food & drink,2019,usa
3/7/19,3/7,34,1,11,1,15,food & drink,2019,usa
3/8/19,3/8,54,3,13,1,14,food & drink,2019,usa
3/9/19,3/9,82,4,13,1,23,food & drink,2019,usa
3/10/19,3/10,57,3,15,3,19,food & drink,2019,usa
3/11/19,3/11,34,1,10,1,10,food & drink,2019,usa
3/12/19,3/12,39,3,12,1,10,food & drink,2019,usa
3/13/19,3/13,34,0,7,1,12,food & drink,2019,usa
3/14/19,3/14,39,1,9,2,13,food & drink,2019,usa
3/15/19,3/15,53,2,15,1,14,food & drink,2019,usa
3/16/19,3/16,66,4,14,1,21,food & drink,2019,usa
3/17/19,3/17,53,3,13,2,18,food & drink,2019,usa
3/18/19,3/18,39,2,8,2,15,food & drink,2019,usa
3/19/19,3/19,38,2,8,2,14,food & drink,2019,usa
3/20/19,3/20,35,2,10,1,11,food & drink,2019,usa
3/21/19,3/21,34,1,9,2,8,food & drink,2019,usa
3/22/19,3/22,55,4,13,1,16,food & drink,2019,usa
3/23/19,3/23,76,5,16,2,23,food & drink,2019,usa
3/24/19,3/24,70,2,12,3,21,food & drink,2019,usa
3/25/19,3/25,31,2,10,1,12,food & drink,2019,usa
3/26/19,3/26,30,2,9,1,12,food & drink,2019,usa
3/27/19,3/27,38,2,11,1,11,food & drink,2019,usa
3/28/19,3/28,38,2,8,2,12,food & drink,2019,usa
3/29/19,3/29,60,3,6,1,21,food & drink,2019,usa
3/30/19,3/30,61,2,10,2,22,food & drink,2019,usa
3/31/19,3/31,50,1,10,1,20,food & drink,2019,usa
4/1/19,4/1,33,3,7,0,10,food & drink,2019,usa
4/2/19,4/2,31,2,7,2,12,food & drink,2019,usa
4/3/19,4/3,32,2,7,1,11,food & drink,2019,usa
4/4/19,4/4,40,1,8,0,11,food & drink,2019,usa
4/5/19,4/5,47,3,6,3,14,food & drink,2019,usa
4/6/19,4/6,67,3,13,3,19,food & drink,2019,usa
4/7/19,4/7,59,3,13,3,23,food & drink,2019,usa
4/8/19,4/8,32,0,7,2,14,food & drink,2019,usa
4/9/19,4/9,38,3,7,3,14,food & drink,2019,usa
4/10/19,4/10,31,2,6,0,10,food & drink,2019,usa
4/11/19,4/11,33,2,6,2,9,food & drink,2019,usa
4/12/19,4/12,43,3,6,1,12,food & drink,2019,usa
4/13/19,4/13,74,1,11,2,22,food & drink,2019,usa
4/14/19,4/14,56,1,10,3,12,food & drink,2019,usa
4/15/19,4/15,31,2,7,1,10,food & drink,2019,usa
4/16/19,4/16,39,2,6,2,7,food & drink,2019,usa
4/17/19,4/17,36,2,8,0,13,food & drink,2019,usa
4/18/19,4/18,35,1,7,1,11,food & drink,2019,usa
4/19/19,4/19,61,3,13,2,19,food & drink,2019,usa
4/20/19,4/20,77,1,12,1,23,food & drink,2019,usa
4/21/19,4/21,64,3,14,2,23,food & drink,2019,usa
4/22/19,4/22,32,1,7,2,11,food & drink,2019,usa
4/23/19,4/23,28,2,9,1,10,food & drink,2019,usa
4/24/19,4/24,31,1,6,1,12,food & drink,2019,usa
4/25/19,4/25,31,2,7,2,9,food & drink,2019,usa
4/26/19,4/26,43,3,7,2,18,food & drink,2019,usa
4/27/19,4/27,75,5,8,2,20,food & drink,2019,usa
4/28/19,4/28,50,3,15,1,15,food & drink,2019,usa
4/29/19,4/29,37,1,10,2,11,food & drink,2019,usa
4/30/19,4/30,33,2,10,1,11,food & drink,2019,usa
5/1/19,5/1,30,2,7,1,11,food & drink,2019,usa
5/2/19,5/2,30,1,7,1,14,food & drink,2019,usa
5/3/19,5/3,47,2,8,1,14,food & drink,2019,usa
5/4/19,5/4,75,3,12,3,19,food & drink,2019,usa
5/5/19,5/5,62,2,12,2,17,food & drink,2019,usa
5/6/19,5/6,35,2,10,1,12,food & drink,2019,usa
5/7/19,5/7,40,2,7,2,9,food & drink,2019,usa
5/8/19,5/8,38,2,9,1,9,food & drink,2019,usa
5/9/19,5/9,40,2,8,1,14,food & drink,2019,usa
5/10/19,5/10,58,3,10,2,15,food & drink,2019,usa
5/11/19,5/11,93,2,16,1,22,food & drink,2019,usa
5/12/19,5/12,100,5,20,4,26,food & drink,2019,usa
5/13/19,5/13,39,1,9,1,19,food & drink,2019,usa
5/14/19,5/14,38,2,12,1,11,food & drink,2019,usa
5/15/19,5/15,27,2,6,1,8,food & drink,2019,usa
5/16/19,5/16,36,2,6,0,10,food & drink,2019,usa
5/17/19,5/17,49,2,5,1,15,food & drink,2019,usa
5/18/19,5/18,74,3,11,1,25,food & drink,2019,usa
5/19/19,5/19,56,1,13,1,22,food & drink,2019,usa
5/20/19,5/20,36,2,12,1,9,food & drink,2019,usa
5/21/19,5/21,33,2,7,1,11,food & drink,2019,usa
5/22/19,5/22,37,2,8,0,14,food & drink,2019,usa
5/23/19,5/23,33,2,8,1,11,food & drink,2019,usa
5/24/19,5/24,53,3,11,2,17,food & drink,2019,usa
5/25/19,5/25,86,2,14,3,25,food & drink,2019,usa
5/26/19,5/26,84,2,17,0,26,food & drink,2019,usa
5/27/19,5/27,52,3,13,1,24,food & drink,2019,usa
5/28/19,5/28,35,1,9,1,14,food & drink,2019,usa
5/29/19,5/29,35,2,6,1,12,food & drink,2019,usa
5/30/19,5/30,40,2,12,3,13,food & drink,2019,usa
5/31/19,5/31,43,3,7,0,14,food & drink,2019,usa
6/1/19,6/1,75,3,12,1,20,food & drink,2019,usa
6/2/19,6/2,63,4,11,6,18,food & drink,2019,usa
6/3/19,6/3,36,3,10,1,12,food & drink,2019,usa
6/4/19,6/4,37,1,7,0,15,food & drink,2019,usa
6/5/19,6/5,40,2,7,2,12,food & drink,2019,usa
6/6/19,6/6,43,2,10,1,11,food & drink,2019,usa
6/7/19,6/7,48,2,9,2,15,food & drink,2019,usa
6/8/19,6/8,68,3,12,4,23,food & drink,2019,usa
6/9/19,6/9,75,4,17,3,16,food & drink,2019,usa
